"","id","gender","math","daysabs","prog"
"1",1001,"male",63,4,2
"2",1002,"male",27,4,2
"3",1003,"female",20,2,2
"4",1004,"female",16,3,2
"5",1005,"female",2,3,2
"6",1006,"female",71,13,2
"7",1007,"female",63,11,2
"8",1008,"male",3,7,2
"9",1009,"male",51,10,2
"10",1010,"male",49,9,3
"11",1011,"female",31,4,3
"12",1012,"male",22,5,2
"13",1013,"female",73,5,2
"14",1014,"female",77,6,1
"15",1015,"male",10,1,3
"16",1016,"male",89,0,2
"17",1017,"female",34,1,2
"18",1018,"female",35,0,2
"19",1019,"male",77,5,1
"20",1020,"male",4,24,2
"21",1021,"female",21,2,2
"22",1022,"male",61,0,2
"23",1023,"male",41,1,2
"24",1024,"male",63,0,2
"25",1025,"female",19,8,2
"26",1026,"male",55,6,1
"27",1027,"male",6,7,2
"28",1028,"female",21,0,2
"29",1029,"male",70,2,2
"30",1030,"male",79,3,1
"31",1031,"male",1,0,2
"32",1032,"female",29,1,2
"33",1033,"male",40,3,2
"34",1034,"male",39,0,2
"35",1035,"male",68,0,2
"36",1036,"female",20,28,2
"37",1037,"male",10,8,2
"38",1038,"male",84,5,2
"39",1039,"male",1,5,1
"40",1040,"female",35,27,2
"41",1041,"female",32,5,2
"42",1042,"female",34,18,2
"43",1043,"female",40,19,2
"44",1044,"male",29,9,2
"45",1045,"male",20,9,2
"46",1046,"female",27,4,2
"47",1047,"male",74,2,2
"48",1048,"male",38,3,2
"49",1049,"male",21,9,2
"50",1050,"female",81,20,2
"51",1051,"male",16,6,2
"52",1052,"male",59,0,2
"53",1053,"male",48,27,2
"54",1054,"female",55,12,2
"55",1055,"female",4,34,2
"56",1056,"male",57,1,2
"57",1057,"male",5,28,1
"58",1058,"male",3,8,1
"59",1059,"female",23,3,2
"60",1060,"female",35,2,2
"61",1061,"male",33,1,2
"62",1062,"female",27,7,2
"63",1063,"male",13,4,2
"64",1064,"male",46,8,2
"65",1065,"female",30,6,2
"66",1066,"male",32,16,2
"67",1067,"female",26,6,1
"68",1068,"female",14,4,2
"69",1069,"female",31,3,3
"70",1070,"female",48,5,2
"71",1071,"male",72,0,2
"72",1072,"male",79,9,2
"73",1073,"male",15,0,3
"74",1074,"male",24,8,2
"75",1075,"female",55,0,3
"76",1076,"female",13,14,1
"77",1077,"male",34,4,2
"78",1078,"male",67,2,2
"79",1079,"male",1,35,2
"80",1080,"female",21,23,2
"81",1081,"female",33,13,2
"82",1082,"male",78,6,2
"83",1083,"female",84,3,1
"84",1084,"male",59,6,2
"85",1085,"male",75,0,2
"86",1086,"male",22,11,1
"87",1087,"female",49,11,2
"88",1088,"female",13,11,2
"89",1089,"male",84,4,3
"90",1090,"male",27,6,2
"91",1091,"female",27,23,2
"92",1092,"female",70,5,2
"93",1093,"male",96,5,2
"94",1094,"female",70,29,1
"95",1095,"female",10,7,2
"96",1096,"male",14,1,2
"97",1097,"male",20,9,2
"98",1098,"male",11,11,2
"99",1099,"male",42,18,2
"100",1100,"male",2,12,2
"101",1101,"male",24,6,1
"102",1102,"male",37,0,2
"103",1103,"male",13,4,2
"104",1104,"male",3,10,2
"105",1105,"male",70,19,1
"106",1106,"female",27,1,2
"107",1107,"female",1,12,1
"108",1108,"female",61,3,2
"109",1109,"male",44,0,2
"110",1110,"male",35,9,2
"111",1111,"male",78,14,2
"112",1112,"female",3,7,2
"113",1113,"male",21,3,2
"114",1114,"male",26,10,2
"115",1115,"male",44,12,2
"116",1116,"female",47,6,2
"117",1117,"female",35,35,2
"118",1118,"female",8,16,1
"119",1119,"female",87,3,2
"120",1120,"male",3,10,2
"121",1121,"male",6,6,2
"122",1122,"male",89,3,1
"123",1123,"male",13,2,2
"124",1124,"male",84,6,2
"125",1125,"male",90,5,2
"126",1126,"female",71,13,2
